L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
2.0000000000000004e-08,3.9,6.0,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.5,3.162277660168379e+16,1e+16,2.0000000000000004e-08,3.0,5.2,2.2360679774997897e+19,7.071067811865475e+20,115.484376817375,8.016256233138299e+27,sim_4846,2025-09-23T16:36:57.443771
3.162277660168379e-08,4.0,6.0,1e+21,2.2360679774997897e+19,2.1e-07,3.7,5.5,1e+17,1e+16,4.999999999999999e-08,2.8,5.2,1e+19,4.9999999999999993e+20,144.3590856672,8.889160678466894e+29,sim_4847,2025-09-23T16:36:57.655921
3.162277660168379e-08,4.0,6.0,4.9999999999999993e+20,2.2360679774997897e+19,3.5e-07,3.7,5.6,1e+16,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,2.2360679774997897e+19,1e+21,151.8703273668,5.340897379922925e+30,sim_4848,2025-09-23T16:36:57.815881
3.162277660168379e-08,3.9,6.0,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.6,5.4,1e+17,3.162277660168379e+16,4.999999999999999e-08,2.8,5.2,1e+19,1e+21,180.56857316875,7.60089508522142e+27,sim_4849,2025-09-23T16:36:58.009594
4.999999999999999e-08,4.0,5.9,4.9999999999999993e+20,1e+19,2.7999999999999997e-07,3.7,5.4,1e+16,1e+17,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,4.9999999999999993e+20,196.13695798305,1.5056655603142728e+32,sim_4850,2025-09-23T16:36:58.205412
4.999999999999999e-08,3.9,5.8,1e+21,1e+19,2.7999999999999997e-07,3.8,5.4,1e+17,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,4.999999999999999e+19,4.9999999999999993e+20,455.0569905325,1.341050519697763e+28,sim_4851,2025-09-23T16:36:58.397424
3.162277660168379e-08,3.8,6.0,7.071067811865475e+20,1e+19,2.7999999999999997e-07,3.8,5.4,1e+17,1e+17,4.999999999999999e-08,3.0,5.2,1e+19,1e+21,640.20085446625,1.2242002751501764e+28,sim_4852,2025-09-23T16:36:58.558966
4.999999999999999e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.6,5.5,3.162277660168379e+16,1e+16,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,4.9999999999999993e+20,141.4491056784,2.8066836206489166e+30,sim_4853,2025-09-23T16:36:58.707095
3.162277660168379e-08,3.9,5.9,1e+21,1e+19,3.5e-07,3.6,5.6,1e+17,1e+16,4.999999999999999e-08,2.8,5.2,1e+19,1e+21,112.883620200625,7.124002383839285e+27,sim_4854,2025-09-23T16:36:58.867571
2.0000000000000004e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.6,5.6,1e+16,1e+16,2.0000000000000004e-08,3.2,5.2,1e+19,1e+21,184.97293477749997,2.228046474107176e+28,sim_4855,2025-09-23T16:36:59.077244
4.999999999999999e-08,3.9,6.0,1e+21,4.999999999999999e+19,2.7999999999999997e-07,3.7,5.6,1e+17,1e+17,4.999999999999999e-08,2.8,5.2,1e+19,7.071067811865475e+20,118.797012858375,9.277436747846219e+27,sim_4856,2025-09-23T16:36:59.272308
3.162277660168379e-08,4.0,6.0,7.071067811865475e+20,1e+19,2.7999999999999997e-07,3.8,5.5,1e+16,1e+16,4.999999999999999e-08,3.2,5.2,1e+19,7.071067811865475e+20,164.1798028728,1.1458756008388128e+30,sim_4857,2025-09-23T16:36:59.484138
4.999999999999999e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.6,5.5,3.162277660168379e+16,1e+16,2.0000000000000004e-08,3.2,5.2,2.2360679774997897e+19,4.9999999999999993e+20,107.27218200866,9.135989078559169e+30,sim_4858,2025-09-23T16:36:59.695854
2.0000000000000004e-08,3.9,5.8,1e+21,4.999999999999999e+19,2.7999999999999997e-07,3.8,5.4,1e+17,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,4.999999999999999e+19,7.071067811865475e+20,492.83738361125006,1.2545182548357185e+28,sim_4859,2025-09-23T16:36:59.907823
4.999999999999999e-08,3.9,5.8,7.071067811865475e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.5,1e+16,3.162277660168379e+16,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,1e+21,120.80390321475001,9.30646282921772e+27,sim_4860,2025-09-23T16:37:00.070107
